Horizon,Updated_Horizon,Flag_remove,Flag.Horizon.Type,Move_to_Humus
Bfh3,Bhf3,,,
IIBtjgj,,,,
Oh?,Oh,,Organic.Horizon,
On,Oh,,Organic.Horizon,
Btn,Bnt,,,
BCBGJ,,Flag,,
BCgII2,BCg2,,,
IIBgb2,,,,
IIBtgj1,,,,
IBh,Bh1,,,
IIIBtk,,,,
BFJU,Bfju,,,
BhC2,Bhc2,,,
Bgb3,Bgb3,,,
IIIBCk,,,,
Aha,Ah,,,
IIBCGJ,IIBCgj,,,
Chj,C,,,
DBR,,Flag,,
AN,,Flag,,
Bmjk1,Bmk1,,,
AhbI,Ahb1,,,
CV,VC,,,
CVI,VIC,,,
CIV,IVC,,,
IVAhb1,,,,
H3k,,Flag,,
AhbIII,,,,
IIIAhgjb,,,,
Ahsca,Ahsk,,,
CGJ2,Cgj2,,,
Os,O,,Organic.Horizon,
Bctg,,Flag,,
Fab,Fb,,Organic.Horizon,
CgIV,Cg4,,,
Btgjk,,,,
Bt2gj,,,,
AEJGJ,Aejgj,,,
Aejd,Aej,,,
Bgb2,,,,
IVBFGB,IVBfgb,,,
IIBCK1,IIBCk1,,,
AHEB,Aheb,,,
fh,FH,,Organic.Horizon,Move
k,,Flag,,
IIAhb2,,,,
BU,,Flag,,
2Ck,IICk,,,
BHFB2,Bhfb2,,,
IIBfj1,,,,
ALg,,Flag,,
Bmfj2,,,,
Bma,,,,
Ahnjgj,,,,
IIBT,IIBt,,,
BCgII,BCg2,,,
Bfn,,,,
IIBfjb2,,,,
IVAe,Ae4,,,
IIIAhkb,,,,
Void,,Flag,,
IIBfh,IIBhf,,,
IIBfhgj,IIBhfgj,,,
Cv,,,,
IVAhgjb3,,,,
Afj,,Flag,,
ICca,Cca1,,,
2BT,IIBt,,,
ICK,Ck1,,,
2BMB,IIBmb,,,
ABh2,,Flag,,
ABh1,,Flag,,
fH,FH,,Organic.Horizon,Move
IIBtk2,,,,
IVBmk3,,,,
Bfkgj1,,,,
IIIBmb2,,,,
IIAhe,,,,
BMKB,Bmkb,,,
Bgk4,,,,
Atj,,Flag,,
Aeb1Bfb,,Flag,,
BVh,Bh5,,,
Csk,,,,
Ahbgj,,,,
CD,C,,,
IVCG,IVCg,,,
IVBtk2,,,,
VBmgjb3,,,,
Bfjtj,,,,
Bmck,,,,
IIBTg,IIBtg,,,
darkband,,Flag,,
Gravel,R,,,
Bfhj2,Bhfj2,,,
Bme,Bm,,,
Bf`,Bf,,,
Ccag,,,,
Bktjk,Bmk,,,
Hdi,H,,Organic.Horizon,Move
Ow,O,,Organic.Horizon,
BIICb,IIBCb,,,
kBfj,Bfjk,,,
BDh,,Flag,,
Ahbke,Ahebk,,,
IAsh,,Flag,,
Bhkj2,,,,
Btjgj2,,,,
Fz,,,Organic.Horizon,Move
Cg?,Cg,,,
IVBh+C,IVBh,,,
IIIBh+C,IIIBh,,,
Bfcjgj,,,,
Acg,ACg,,,
ABh3,AB3,Flag,,
Hdr,H,,Organic.Horizon,Move
Bmca1,,,,
IIIBmB,IIIBmb,,,
IICg3,,,,
Bbg,Bgb,,,
Btgji,Btgj1,,,
AhgI,Ahg1,,,
P,,Flag,,
IICf,,Flag,,
iVCg,IVCg,,,
Ccgj,Ccgj,,,
bG,Bg,,,
ABH,AB,,,
BTJGJ,Btjgj,,,
C1g,Cg2,,,
IIBmKb,,,,
Bhfcg,,,,
Ahh,Ah,,,
BmgjII,Bmgj2,,,
IIBt4,IIBt4,,,
Ahbgk,,,,
Ro,R,,,
AhB,Ah,,,
Aejx,,,,
BChAh?,,Flag,,
Aeg1,,,,
BCH,BC,,,
CBk,,,,
BI,,Flag,,
IIIAcgb,,Flag,,
BmbII,Bmb2,,,
Bmgjc,,,,
VIBM,VIBm,,,
3Bgjk,IIIBgjk,,,
H4,H4,,Organic.Horizon,Move
Bmjgj,Bmgj,,,
VBmgj3,,,,
IIIBC2g,IIIBCg2,,,
Bmgb,,,,
BCu1,,,,
Bgjhb,Bhgjb,,,
Oh3Bg,Oh3,,Organic.Horizon,
BGH,Bhg,,,
Bmjg,Bmg,,,
IIHib,,,Organic.Horizon,
Sl,,Flag,,
Bgj3b,,,,
CBK,CBk,,,
Ckb1,,,,
IIAhKb,IIAhkb,,,
IVCg1,,,,
iicG,IICg,,,
Bfh+Bm,,Flag,,
2BCU,IIBCu,,,
Ic1,C1,,,
iC,C1,,,
BCkg,,,,
Bskgj,Bmksgj,,,
Bfx,,,,
BHG,Bhg,,,
OF,Of,,Organic.Horizon,
Bej,Aej,,,
Ahkb3,,,,
Bm#,Bm3,,,
Ae`,Ae,,,
Cu,C,,,
ICg2,Cg2,,,
Bfhb2,Bhfb2,,,
Bfhb1,Bhfb1,,,
Bfhb3,Bhfb3,,,
LFb1,,,Organic.Horizon,
Bmj1,Bm1,,,
llC2,,,,
IIBhb,,,,
IAhj,,,,
LFb2,,,Organic.Horizon,
llC1,,,,
IIHh,Hh2,,Organic.Horizon,Move
MC,,Flag,,
IIAhbk,,,,
Bmzy,,,,
GG,,Flag,,
Btfjgj,,,,
Ah+Ahe+A,Ahe,,,
BmBtj,Btj,,,
BFBG,Bfg,,,
Boulder,R,,,
Ahbk2,Ahkb2,,,
BC1Bm,Bm,,,
Ckb2,Bkb2,,,
AEH,Ahe,,,
Bhjg,,,,
Cki,Ck1,,,
Bgh1,Bhg1,,,
BHFBG,Bhfg,,,
Cn,Cn,,,
CG3,Cg3,,,
M1,,Flag,,
M2,,Flag,,
IIB3,IIBm3,,,
Bkgj2,,,,
IIAHGJB,IIAhgjb,,,
BCG1,BCg1,,,
BTG2,Btg2,,,
C1k,Ck1,,,
IIBG,IIBg,,,
Cgjk3,Ckgj3,,,
BHFGB,Bhfgb,,,
BCcj1,BCcj1,,,
IIBf4,,,,
BHFCG,Bhfcg,,,
Btgk,,,,
CorBt,BC,,,
BDII,,Flag,,
frozen,,Flag,,
AHGJ,Ahgj,,,
Bgjz,Bgjz,,,
BG2,Bg2,,,
BG1,Bg1,,,
BCGJK2,BCgjk2,,,
IIAebgj,IIAebgj,,,
Btorx,,Flag,,
BP,,Flag,,
IIIAhb2,IIIAhb2,,,
ICB,BC1,,,
bgj,Bgj,,,
IIAek,,,,
IIBmgb1,,,,
VIIIBm8,,,,
BCG2,BCg2,,,
VBC,,,,
BH1,Bh1,,,
BH2,Bh2,,,
Cg6,,,,
IIIBmgjb,,,,
BmkC,Bmk,,,
BCtk,Btk,,,
BCu2,,,,
IIBMKB1,IIBmkb1,,,
R28,R,,,
CkG,Ckg,,,
OH1,Oh,,Organic.Horizon,
BCK1,BCk1,,,
OF1,Of1,,Organic.Horizon,
OF2,Of2,,Organic.Horizon,
L4,,Flag,,
Bum2,Bmu2,,,
Bgkj,,,,
IBgb,Bgb1,,,
Bhkj1,,,,
BCGK,BCgk,,,
Ahgi,Ahg1,,,
VBCg,,,,
AEKG,Aeg,,,
Cuk1,,,,
IIIBmkgj,,,,
Ohb1,,,Organic.Horizon,
BMY,Bmy,,,
IVBt,,,,
Btl,Bt1,,,
Bmgjtj,,,,
Bccj,BCcj,,,
2CR,IIC,,,
IIBMKB2,IIBmkb2,,,
AhAej,Ahej,,,
IIIBTGJ2,IIIBtgj2,,,
IIBmt,,,,
Afh,Ah,,,
IIBCk1,,,,
BCm,Bm,,,
Cgbj1,Cgjb1,,,
BCfj,Bfj,,,
Baj,Bmj,,,
IVCb,,,,
Bfkj,,,,
Bmgjb2,,,,
Bmji,Bm1,,,
Fzb,Fb,,Organic.Horizon,
IVCg2,,,,
Cuk2,,,,
BCgju,,,,
IAh3,Ah3,,,
A2+B,,Flag,,
Bkgi,Bgjk,,,
Aph,Ap,,,
Btji,Btj1,,,
BTKG,Btg,,,
BMII,Bm2,,,
"BMBC


",Bm,,,
IIBCgb,,,,
BFJMII,Bm2,,,
BCFJ,Bfj,,,
BCFJII,Bfj2,,,
BFJM,Bfj,,,
IBtg,,,,
Bmz1,,,,
IIICgk,,,,
IIAbg,IIAhbg,,,
BCtg2,Btg2,,,
Ahgz,,,,
H+Bm,Bm,,,
BaII,,Flag,,
IIBtkg,,,,
IIBkj,IIBmkj,,,
IIIbg,IIIBg,,,
Aheub,,,,
BKgtg1,Btgk1,,,
Btjfj,,,,
Bfjcgj,,,,
3BCK,IIIBCk,,,
Ls,,,Organic.Horizon,Move
BgK,Bgk,,,
ahej,Ahej,,,
HrR,,Flag,,
IIBtgz1,,,,
Cgk5,,,,
Abg,Aegb,,,
BCmfjII,Bfj2,,,
BfjII,Bfj2,,,
BmB,Bmb,,,
BCfc,Bfc,,,
BCmgjII,Bmgj2,,,
BCmgj,Bmgj,,,
IIBCkb,,,,
Ash?,,Flag,,
BC2gj,BCgj2,,,
HAh,Ah,,,
Apk,,,,
Bm2Bt,Bt2,,,
VCg5,,,,
Bmb5,,,,
brkrock,R,,,
Fm,,,Organic.Horizon,Move
2ABU,IIABu,,,
Abe,Ahe,,,
Bmgz1,,,,
IIIBTGJ1,IIIBtgj1,,,
IVBmb1,,,,
IVBfcj,,,,
Bhf??,Bhf,,,
C1y,Cy1,,,
Cca1u,Ccau1,,,
AhejH,Ahej,,,
BHBK,Bhk,,,
hb2,Hb2,,Organic.Horizon,
Bri,,Flag,,
AheH,Ahe,,,
Bfjgj1,,,,
Ahbj,Ahjb,,,
Ae3Btj,,Flag,,
Bm3b,Bmb3,,,
Obh,Oh,,Organic.Horizon,
Bmyz,,,,
Bfgju,,,,
BgbI,Bgb1,,,
IVBmb6,,,,
saltbla,,Flag,,
Bk3,Bmk3,,,
Btjk2,,,,
IICKG1,IICkg1,,,
A+CK,,Flag,,
Cmgj,Bmgj,,,
IIBMC,IIBmc,,,
BtAhbf,,Flag,,
As,,Flag,,
C+BKUGJ,,Flag,,
Bfd,Bfb,,,
BGJH,Bhgj,,,
BCkII,BCk2,,,
IIRC,R,,,
Bmca3,Bmk3,,,
Bhigj,Bhjgj,,,
Ahij,Ahej,,,
BMGJX,Bmgjx,,,
BGB,Bgb,,,
IIBmz,,,,
IIBCgj1,,,,
CcK,Cck,,,
OV,O,,Organic.Horizon,
BA2,,,,
VBf3,,,,
C+HKB,,Flag,,
bm2,Bm2,,,
IICq,IIC,,,
B+ABU,,Flag,,
BFJG,Bgfj,,,
FC,,Flag,,
Bmfj1,,,,
Aej2,,,,
Bfhu1,Bhfu1,,,
Bfhu2,Bhfu2,,,
Bgu1,,,,
Bgu2,,,,
IVCGJ,IVCgj,,,
IIIAheb,,,,
Aeug,,,,
Re,R,,,
BCKB,BCkb,,,
BFw,Bfw,,,
Cgk4,,,,
CR?,C,,,
BFCB,Bfcb,,,
HC,Hc,,Organic.Horizon,Move
AhC,Ah,,,
BCBK,BCk,,,
AHBGJ,Ahgjb,,,
H1,,Flag,,
CkII,Ck2,,,
AeJ,Aej,,,
Btfj1,,,,
Bmgjk1,Bmkgj1,,,
VCKG,VCkg,,,
coarse,,Flag,,
ACu,ACu,,,
Bgje,Bgj,,,
BMBKU,Bmku,,,
Moss,S,,Organic.Horizon,Move
IIHAh,,Flag,,
IIBhfu,IIBhfu,,,
IIACg,IIACg,,,
CKgj,Ckgj,,,
IIBG2,IIBg2,,,
CHAR,,Flag,,
AheBfj,,Flag,,
IIIBhgj,,,,
IVAE,IVAe,,,
2BCCJ,IIBCcj,,,
ACgj,ACgj,,,
Bgu,,,,
Aheju,,,,
IIIBcgj,IIIBCgj,,,
Bfgcg,,Flag,,
BCgcj,BCgcj,,,
BHFY,Bhfy,,,
Bm1k,Bmk1,,,
IAh?,Ah1,,,
aeh,Ahe,,,
11BC,IIBC,,,
BCcj2,BCcj2,,,
CBG2,CBg2,,,
Bmyk,,,,
BTK1,Btk1,,,
Bjj,,Flag,,
IICs,,,,
Bmy3,,,,
Bfjb1,,,,
IILv,Lv2,,Organic.Horizon,Move
BCnk,Bnk,,,
Bfh?,Bhf,,,
ACg,ACg,,,
3AB,IIIAB,,,
BMGJB,Bmgjb,,,
IIbtg,IIBtg,,,
Ahbgj2,,,,
Ahb2C3,Ahb2,,,
bcK,Bmkc,,,
Ashb,,Flag,,
BMX,Bmx,,,
IBmk,,,,
Em,,Flag,,
Bm1Bt,Bt1,,,
Bfj2Bm,Bfj2,,,
BgBgf,Bgf,,,
iiC,IIC,,,
iiiAhb,IIIAhb,,,
Bm2f2,Bf2,,,
AhCg,Ahg,,,
BtgCg,Btg,,,
O4,O,,Organic.Horizon,
O3,O,,Organic.Horizon,
AhBh,,Flag,,
BtjCg,,Flag,,
Bgcc,,,,
AejBmj,,Flag,,
BCcc,,,,
Ah2+bmf,,Flag,,
BFHC,Bhfc,,,
BHFG1,Bhfg1,,,
BHFG2,Bhfg2,,,
iAh,Ah1,,,
vAhb,Vahb,,,
Co,C,,,
viC,VIC,,,
char,,Flag,,
Bm1f1,Bm1,,,
Bmhfh,Bhf,,,
Bmhgj,Bhgj,,,
Bmhfh1,Bhf1,,,
AHB1,Ahb1,,,
AHB2,Ahb2,,,
BMJ,Bm,,,
OM1,Om1,,Organic.Horizon,
OM2,Om2,,Organic.Horizon,
CBc,CBc,,,
Bmcg,,,,
Bmhfh2,,Flag,,
Bmgfg,,Flag,,
OH2,Oh2,,Organic.Horizon,
Ahg3,,,,
AeAch,,Flag,,
BFB2,Bfb2,,,
BFB1,Bfb1,,,
IIHbAe,,Flag,,
AshAe,,Flag,,
Ahr,Ah,,,
Hcinb,Hb,,Organic.Horizon,
Bngt,Bntg,,,
Ahgc,Ahg,,,
Hbu,Hb,,Organic.Horizon,
AeAsh,Ae,,,
AejBg1,,Flag,,
R+C,R,,,
Ah3+Bmj,,Flag,,
Ah2+Bmj,,Flag,,
Bmfcc,Bfcc,,,
ABAC,AB,,,
CI1,C1,,,
CI2,C2,,,
BCBm,Bm,,,
Cngt,,Flag,,
Bmf2,Bf2,,,
Bhcoll,Bh,,,
BC+R,,Flag,,
Ah+Cg,,Flag,,
95,,Flag,,
CAe,Ae,,,
Bhf5,,,,
Bhg+Btj,,Flag,,
Hb2Hb5,Hb,,Organic.Horizon,
Bm2Bm5,Bm,,,
Wood,,Flag,,
