Horizon,Updated_Horizon,Flag_remove,Flag.Horizon.Type,Move_to_Humus
Bmi,Bm1,,,
Cqx,Cx,,,
BgJ,Bgj,,,
IBt,,,,
Bf2u,Bfu2,,,
g,,Flag,,
Cgca,,,,
Bmx1,,,,
IICcg,,,,
IAe2,,,,
Cgnj,Bgnj,,,
Be,,Flag,,
IIAhj,,,,
BMGJ1,Bmgj1,,,
Bgkb2,,,,
2,,Flag,,
Cr,C,,,
IIAh,,,,
Btjk,,,,
AeBm,,Flag,,
IIAhbC,IIAhb,,,
Ahbg,,,,
Cgj3,,,,
?Bt,Bt,,,
Cgju,Cugj,,,
At,,Flag,,
Bm1Bhf,Bhf,,,
Cq,C,,,
R2,R,,,
Bhft,,Flag,,
Bngj,,,,
S1,,Flag,,
LFHb,,,Organic.Horizon,
Ahjk,,,,
IIIH,H3,,Organic.Horizon,Move
Ctgj,Btgj,,,
CGT,Cg,,,
CorBC,,Flag,,
IIBfgj,,,,
IIIAHb,IIIAhb,,,
IIAHb,IIAhb,,,
IAH,Ah1,,,
Cgj4,,,,
IIBCt,IIBt,,,
Aetrace,,Flag,,
BCu,BCu,,,
IIIAhbC,IIIAhb,,,
BF4,Bf4,,,
IIAegjb1,IIAebgj,,,
BFcc,Bfcc,,,
B?,,Flag,,
IICk1,,,,
B+,,Flag,,
Aeg2,,,,
S,,,Organic.Horizon,Move
Btk3,,,,
IIBF,IIBf,,,
BCGJ,BCgj,,,
IAhb,,,,
IIAhbc,,,,
Ahkb,,,,
IIIBm3,,,,
2Bm,IIBm,,,
hb,Hb,,Organic.Horizon,
IBmk1,,,,
2Cgj,IICgj,,,
Bg2k,Bgk2,,,
Bgf2,,,,
IIBCgj,,,,
Bgcj,,,,
Bgf1,,,,
AU,,Flag,,
AHbg,Ahbg,,,
IIIBf,,,,
BCM,Bm,,,
D1,,Flag,,
ACbg2,,Flag,,
Ahbu,,,,
VBhg,,,,
Ofb1,,,Organic.Horizon,
Bmub,,,,
IIIBmb,,,,
Ahu,,,,
I.Ah,Ah1,,,
AEB,Aeb,,,
Cx,,,,
3BC,IIIBC,,,
Ag,,Flag,,
BFh,Bhf,,,
Ck5,,,,
Btgj3,,,,
IIF,,Flag,,
B4,,Flag,,
Br,,Flag,,
AeBm1,,Flag,,
Btu,Btu,,,
Btc,Btc,,,
Bm2R,,Flag,,
2AHE,Ahe2,,,
Ac1,AC1,,,
Ah1oh,Ah1,,,
Boulders,R,,,
Bmbgj,,,,
Bgtj,,,,
BCg3,,,,
Bhgk,,,,
Cjk1,Ckj1,,,
FB,Fb,,Organic.Horizon,
AE2,Ae2,,,
Ahks,,,,
Hhrb,Hb,,Organic.Horizon,
Civ,IVC,,,
Bum1,Bmu1,,,
IIIBhfc,,,,
IIIAe,,,,
IIBm3,,,,
r,R,,,
IIBMGJ2,IIBmgj2,,,
Bhk,Bhk,,,
bhf,Bhf,,,
bfcj,Bfcj,,,
2BG,IIBg,,,
CgR,Cg,,,
ABtg,Btg,,,
Ccq,Cca,,,
B+AU,,Flag,,
"Ae


Ae",Ae,,,
BCCJ,BC,,,
Dx,,Flag,,
IVBCK,IVBCk,,,
IIIBCgj,IIIBCgj,,,
Bcj,,,,
HAeb2,Aheb2,,,
BCgc,,,,
Btjh,Bhtj,,,
Ae3,,,,
BG,Bg,,,
Organic,O,,Organic.Horizon,
Ck4,,,,
BII,,Flag,,
Bh1,Bh1,,,
2Bm1,IIBm1,,,
Bfjb,Bmb,,,
Ccj,,,,
IAh1,,,,
BCj,Bcj,,,
IIHb,,,Organic.Horizon,
IIBfb,,,,
VICKZ,VICkz,,,
Bf11,Bf1,,,
Bfz,,,,
Bm?,Bm,,,
BmII,Bm2,,,
Bf4,,,,
AejBm,,Flag,,
AhHe,Ahe,,,
Bnjgj,,,,
Ibf,Bf1,,,
Btjg1,Bgtj,,,
IIIBCg,,,,
IIC238,,Flag,,
Ahn,,,,
VIIBM,VIIBm,,,
Bfhg3,Bhfg3,,,
Bfhg2,Bhfg2,,,
Fb2,,,Organic.Horizon,
IC1,,,,
Ahekgj,,,,
Cq1,,Flag,,
LFh,LFH,,Organic.Horizon,Move
5AB,VAB,,,
VBM,VBm,,,
Bfhgj,Bhfgj,,,
IIBF3,IIBf3,,,
bc,BC,,,
Aeju,,,,
Bgf,,,,
Bfh2,Bhf2,,,
Bfhgj1,Bhfgj1,,,
Bmb1,,,,
Cgjc,Ccgj,,,
Ahca,,,,
Ahbk,,,,
BCG,BCg,,,
Blc,,Flag,,
Bt1k,Btk1,,,
Ahe1,,,,
AHEG,Aheg,,,
IIBgj,,,,
Csa,,,,
IVAhb2,,,,
AeAhe,Ahe,,,
c3,C3,,,
11C,IIC,,,
Bhf4,,,,
CKg,Ckg,,,
2BCKG,IIBCkg,,,
Bfhg1,Bhfg1,,,
2Cg,IICg,,,
Bmt,Bt,,,
IIBmgj1,,,,
Bfg1,,,,
C?,C,,,
Omk,Om,,Organic.Horizon,
Hr,,,Organic.Horizon,Move
Ohj,Oh,,Organic.Horizon,
II.Ah,IIAh,,,
IIBck,,,,
BCgj2,,,,
Ahek1,,,,
FH2,,,Organic.Horizon,Move
IVCkgj,,,,
CBm1,Bm1,,,
ICd,IC,,,
IVCBg,,,,
Bgf3,,,,
IIBMK,IIBmk,,,
III,,Flag,,
Cgk2,,,,
Cgk1,,,,
AhII,,,,
Cgsak1,,,,
Bmj3,Bm3,,,
Ck6,,,,
BCcgj,,,,
Cng,,,,
Ahng,,,,
AHG,Ahg,,,
Cgn,,,,
Cm,,Flag,,
Ahkg,,,,
Ag2,Ah2,,,
DOP,,Flag,,
Log,,Flag,,
Baf,Bf,,,
IICb,,,,
Bgfhb,Bghfb,,,
Aejgj,,,,
IBgj,,,,
Am,,Flag,,
IC2,,,,
VBm5,,,,
AEU,Aeu,,,
IIFb,,,Organic.Horizon,
IICGj,IICgh,,,
Ahek,,,,
fragmen,,Flag,,
AB1,,,,
Ckgj2,,,,
Om2,Om2,,Organic.Horizon,
H2O,W,,,
HB,Hb,,Organic.Horizon,
BCgi,BCg1,,,
C2gj,Cgj2,,,
2AE,IIAe,,,
rocks,R,,,
DR,R,,,
Bhc,,,,
BC4,,,,
IICca2,,,,
Btck,,,,
S9L,,Flag,,
gravel,R,,,
Cgjk2,Ckgj2,,,
cgj,Cgj,,,
Btjk1,Bktj1,,,
Bfhgj2,Bhfgj2,,,
Bgi,Bg1,,,
IIBMGJ1,IIBgj1,,,
IIBtg,,,,
IIB_C,IIBC,,,
Cgs,Cgs,,,
IBmgj,,,,
Bgbc,,,,
BLk,,Flag,,
2BCGJX,IIBCxgj,,,
AHEJ,Ahej,,,
cl,C1,,,
Ahek2,,,,
Ab2,,,,
CIII,IIIC,,,
C11,IIC,,,
bg2,Bg2,,,
Ofb,,,Organic.Horizon,
Brng,Bng,,,
bt,Bt,,,
BT1,Bt1,,,
IVHb,,,Organic.Horizon,
ash,,Flag,,
Bgfj1,,,,
IIBfgjcj,,,,
BCx,,,,
Cj,C,,,
BCorR,R,,,
f,F,,Organic.Horizon,Move
Bht,,Flag,,
IIBmb1,,,,
HB2,Hb2,,Organic.Horizon,
Bi,,Flag,,
BL,,Flag,,
CCA,Cca,,,
Bfe,Bf,,,
Op,O,,Organic.Horizon,
IIAhbg,,,,
BCI,BC1,,,
L3,,Flag,,
IICkg,,,,
BfBg,Bfg,,,
CkIII,Ck3,,,
Bmuk,Bmuk,,,
Bhfub,,,,
2BF,IIBf,,,
An,Ah,,,
Btkgj2,,,,
IVBm4,,,,
Bum,,,,
Lb,,,Organic.Horizon,
Ahk2,,,,
A+CU,,Flag,,
Bm2kj,Bmkj2,,,
Aeu,Aeu,,,
IVCK,IVCk,,,
BCkb,,,,
Bf4x,Bfx4,,,
E,Ae,,,
Bfhk,Bhfk,,,
ACH,Ah,,,
Bhfx,,,,
IVCKG3,IVCkg3,,,
Ckb,Ckb,,,
1,,Flag,,
IICcgj,,,,
IIICkg,,,,
BgbII,Bgb2,,,
IICG,IICg,,,
2CKGJ,IICkgj,,,
IIBhf3,,,,
BHFU,Bhfu,,,
Cyk,,,,
VCk,,,,
CGJ1,Cgj1,,,
CkI,Ck1,,,
Ahfj,Ah,,,
IIBmgj2,,,,
Cgl,,,,
BTJK,Bktj,,,
Bmkb2,,,,
IIBCgb2,,,,
BMgj,Bmgj,,,
Bmb3,,,,
Bfjb3,,,,
4C,IVC,,,
FHb,,,Organic.Horizon,
K,,Flag,,
Btgj1,,,,
Bca2,,,,
BHFGJ,Bhfgj,,,
IIIBmaj,IIIBm,,,
Bf5,,,,
Bmtgj,Btgj,,,
Ahi,Ah1,,,
Bm1?,Bm1,,,
Ckcg,,,,
HFb,,,Organic.Horizon,
OM,Om,,Organic.Horizon,
IVBF,IVBf,,,
Bfb1,,,,
Csca,,,,
Bgj3,,,,
h,H,,Organic.Horizon,Move
Ckg2,,,,
BhfBhfj,Bhfj,,,
IIIBm2,,,,
Cgx,,,,
IIICg3,,,,
IIBCgj2,,,,
2BCC,IIBCc,,,
Aegi,Aegj,,,
Hj,H,,Organic.Horizon,Move
AH2,Ah2,,,
Bt1g,Btg1,,,
Af,Ah,,,
Hdb,Hb,,Organic.Horizon,
AhE,Ahe,,,
BgCg,BCg,,,
C12,C1,,,
"Ah


",Ah,,,
R1,R,,,
BCt2,Bt2,,,
