Horizon,Updated_Horizon,Flag_remove,Flag.Horizon.Type,Move_to_Mineral
"S,LFH",SLFH,,,
Hh1.50,,Flag,,
0.5,,Flag,,
HBK1,,Flag,,
Oco1,Om1,,Organic.Horizon,Move
Fu,F,,,
Fy21,Fy2,,,
L~,L,,,
None,,Flag,,
1.50.5,,Flag,,
CRUST,S,,,
IOf2,Of2,,Organic.Horizon,Move
HOhi,H,,,
Fy?,Fy,,,
non,,Flag,,
Los,,Flag,,
??,,Flag,,
HdS,SHd,,,
Fv2,,,,
FK,,Flag,,
B,,Flag,,
HiAh,,Flag,,
Lz,,,,
sl,SL,,,
Fqch,Fq,,,
"Os,Hd",Hd,,,
log,,Flag,,
Ohi2,Oh2,,Organic.Horizon,Move
FHd,,,,
HRI,Hr1,,,
Om22,Om2,,Organic.Horizon,Move
LFmoss,SLF,,,
SiL,,Flag,,
FmDw,,Flag,,
OfOh,Of,,Organic.Horizon,Move
c,,Flag,,
Faqo,Fa,,,
Ahj,,,,Move
Ofw,,,Organic.Horizon,Move
Cg1,,,,Move
Fab,,,,
F+H,FH,,,
Sw,,,,
Hdr,Hd,,,
Fxi,F1,,,
Ck,,,,Move
char,,Flag,,
Li,L1,,,
Lv1,,,,
FqB2,,Flag,,
Ap,,,,Move
F8ay2,Fa2,,,
Faqy,Fa,,,
OHM,Oh,,Organic.Horizon,Move
OFy3,Ofy3,,Organic.Horizon,Move
MossLic,S,,,
OL,Of,,Organic.Horizon,Move
LFU,LF,,,
IIOm,,,Organic.Horizon,Move
Fsm,,,,
Humic,LFH,,,
Hdw,,,,
FLH,LFH,,,
L`,L,,,
Har,Hr,,,
LFF,LF,,,
Fmb,,,Organic.Horizon,Move
FR,Fr,,,
water,W,,,
Fp,F,,,
"Fy,H",FyH,,,
OmAha,,Flag,,
moss,S,,,
Fm3,,,,
bOm,Omb,,Organic.Horizon,Move
W?,W,,,
L\Fm,LFm,,,
Fhch,,,,Move
Cc,,,,
ChH,,,,Move
LSFy,,,,
LFI,LF1,,,
Hrd,Hr,,,
LOs,LS,,,
"Lv


Lv",,,,
S+Lv,SLv,,,
B.C.,,Flag,,
SOf,Of,,Organic.Horizon,Move
FqB1,,Flag,,
AhI,,Flag,,
FqO,Fq,,,
"L


",,,,
HhHr,,,,
IC,,,,Move
IIC,,,,Move
GS,,,,
Faj?,Fa,,,
sL,SL,,,
HBK2,,Flag,,
Dw,,Flag,,
Fzb,,,Organic.Horizon,Move
Fmy,,,,
FHi,FH1,,,
Fb4,,,Organic.Horizon,Move
IIOfb,IIOfb,,Organic.Horizon,Move
Hib,Hb1,,Organic.Horizon,Move
fm,Fm,,,
HwAh,,Flag,,
EC,,Flag,,
LFG,LGF,,,
FC,,Flag,,
I0m,,Flag,,
0m,,Flag,,
ae,Ae,,,Move
HI,H1,,,
Hfg1,,Flag,,
Hfg2,,Flag,,
Fg?,F,,,
LO,,Flag,,
fz,Fz,,,
GL,LG,,,
Fms,,,,
had,Had,,,
FZ,Fz,,,
Frw,,,,
Hhc,,,,
H+Dw,,Flag,,
Ofs,Of,,Organic.Horizon,Move
HrHh,,,,
0f1,Of1,,,
Hdai,Hda1,,,
nohumus,,Flag,,
OhOm,Oh,,Organic.Horizon,Move
LSD,,Flag,,
lOf,Of1,,Organic.Horizon,Move
OM3,Om3,,Organic.Horizon,Move
C4,,,,Move
LFHb2,,,Organic.Horizon,Move
faqi,Faq1,,,
Hdgi,Hd1,,,
Fagi,Fa1,,,
LI,L1,,,
Oh5,,,Organic.Horizon,Move
Void,,Flag,,
Omco,Om,,Organic.Horizon,Move
Hdri,Hr,,,
Fac,,,,
Hhy,,,,
L0,,Flag,,
Lr,L,,,
Fo,Fa,,,
Hchar,H,,,
CM,,Flag,,
HD,Hd,,,
fqhr,FqHr,,,
lv2,Lv2,,,
Lignic,H,,,
m,,Flag,,
LFH2,,,,
LFH1,,,,
FaqS,,,,
SIL,,Flag,,
OhC,,Flag,,
Fg2,F2,,,
Ofm,Om,,Organic.Horizon,Move
LFH3,,,,
LFh,LFH,,,
Ohm1,Om1,,Organic.Horizon,Move
LHH,LH,,,
Cumulo,,Flag,,
Ln?,Ln,,,
OFy2,Ofy2,,Organic.Horizon,Move
Faqb,,,Organic.Horizon,Move
HBK3,H3,,,
wood,,Flag,,
Hh*,Hh,,,
OMBT,,Flag,,
LFJ,LF,,,
FHM,,Flag,,
hdhr,HdHr,,,
LR,L,,,
Wood,,Flag,,
IS,,Flag,,
E,,Flag,,
H0h,Oh,,Organic.Horizon,Move
FaqBS,,Flag,,
Oh1Bg,,Flag,,
HAhe?,,Flag,,
CG,Cg,,,Move
Ofib,Ofb1,,Organic.Horizon,Move
fo,Of,,Organic.Horizon,Move
OhI,Oh1,,Organic.Horizon,Move
VF,F,,,
root,,Flag,,
H2z,H2,,,
H1z,H1,,,
oF,Of,,Organic.Horizon,Move
OFHB,Ofb,,Organic.Horizon,Move
S?,S,,,
Fm1?,Fm1,,,
Fm2?,Fm2,,,
Om?,Om,,Organic.Horizon,Move
Hi3,H3,,,
5,,Flag,,
om2,Om2,,Organic.Horizon,Move
LvFa,,,,
LvFmHh,,,,
LvFz,,,,
LvFaH,,,,
LHrHc,,,,
Hc1,,,,
HcOh,Hc,,,
HcHli,Hc1,,,
Oh?,Oh,,Organic.Horizon,Move
OfAh,Of,,Organic.Horizon,Move
Hr?,Hr,,,
LFi,LF1,,,
Hc2,,,,
LFy,,,,
FzHh,,,,
Fyx,,,,
HrHli,,,,
HHin,,,,
Fzmin,Fsm,,,
Hchin,Hc,,,
HrHm,Hr,,,
Ohin,Oh,,Organic.Horizon,Move
Hliin,H,,,
Hcin2,Hc2,,,
Oh1in,Oh1,,Organic.Horizon,Move
Hrchin,Hr,,,
Hrliin,Hr,,,
Lv+n,Lvn,,,
Fzyli,Fyz,,,
H+DW,,Flag,,
H2O,W,,Organic.Horizon,Move
FmHr2,,,,
FmHr1,,,,
Cgc,,,,Move
LvFaHh,,,,
HcLi,LHc1,,,
HrLi,HL1,,,
trace,,Flag,,
